Time,Analog
99,437
100,549
101,637
103,709
104,769
105,711
106,563
107,445
108,353
109,281
110,222
111,241
112,393
113,513
115,609
116,686
117,750
118,774
119,609
120,483
121,384
122,303
123,241
124,193
126,345
128,475
129,577
130,663
131,730
132,785
133,661
134,523
135,416
136,330
137,260
139,206
140,293
141,433
142,545
143,635
144,708
145,767
146,717
147,567
148,449
149,356
151,282
152,224
153,237
154,390
155,510
156,608
157,687
158,749
159,780
160,612
162,485
163,386
164,305
165,243
166,194
167,342
168,470
169,575
171,660
172,727
173,784
175,664
176,525
177,418
178,330
179,262
180,209
181,289
182,430
183,543
184,633
185,707
187,766
188,721
